Name|Attack|Defense|Health|Move1|Move2|Move3|Move4
Vulpix|41|40|38|Flame Wheel:60|Aerial Ace:60|Fire Blast:110|Shadow Ball:80
Ninetales|67|75|73|Ember:40|Flame Wheel:60|Energy Ball:90|Fire Blast:110
Jigglypuff|45|20|115|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Wigglytuff|70|45|140|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Zubat|45|35|40|Gust:40|Air Slash:75|Brick Break:75|Hurricane:110
Golbat|80|70|75|Aerial Ace:60|Ice Beam:90|Hurricane:110|Flamethrower:90
Oddish|50|55|45|Vine Whip:45|Razor Leaf:55|Shadow Ball:80|Solar Beam:120
Gloom|65|70|60|Vine Whip:45|Energy Ball:90|Brick Break:75|Solar Beam:120
Vileplume|80|85|75|Razor Leaf:55|Energy Ball:90|Slash:70|Solar Beam:120
Paras|70|55|35|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Parasect|95|80|60|Headbutt:70|Rock Slide:75|Hyper Beam:150|Brick Break:75
Venonat|55|50|60|Headbutt:70|Energy Ball:90|Hyper Beam:150|Shadow Ball:80
Venomoth|65|60|70|Sludge:65|Slash:70|Gunk Shot:120|Surf:90
Diglett|55|30|10|Tackle:40|Headbutt:70|Thunderbolt:90|Hyper Beam:150
Dugtrio|100|60|35|Bulldoze:60|Slash:70|Earthquake:100|Slash:70
Meowth|35|35|40|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Persian|60|60|65|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Psyduck|52|48|50|Water Gun:40|Surf:90|Energy Ball:90|Hydro Pump:110
Golduck|82|78|80|Bubble Beam:65|Bite:60|Hydro Pump:110|Thunderbolt:90
Mankey|80|35|40|Karate Chop:50|Brick Break:75|Aerial Ace:60|Focus Punch:150
Primeape|105|60|65|Brick Break:75|Draining Kiss:50|Focus Punch:150|Flamethrower:90
Growlithe|70|45|55|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Arcanine|110|80|90|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Poliwag|50|40|40|Bubble Beam:65|Thunderbolt:90|Hydro Pump:110|Ice Beam:90
Poliwhirl|65|65|65|Water Gun:40|Bubble Beam:65|Surf:90|Hydro Pump:110
Poliwrath|95|95|90|Water Gun:40|Surf:90|Aerial Ace:60|Hydro Pump:110
Abra|20|15|25|Confusion:50|Psychic:90|Rock Slide:75|Hyper Beam:150
Kadabra|35|30|40|Psybeam:65|Bite:60|Flamethrower:90|Thunderbolt:90
Alakazam|50|65|55|Confusion:50|Psychic:90|Aerial Ace:60|Thunderbolt:90
Machop|80|50|70|Karate Chop:50|Close Combat:120|Brick Break:75|Focus Punch:150
Machoke|100|70|80|Karate Chop:50|Close Combat:120|Aerial Ace:60|Focus Punch:150
Machamp|130|80|90|Brick Break:75|Surf:90|Focus Punch:150|Aerial Ace:60
Bellsprout|75|35|50|Vine Whip:45|Razor Leaf:55|Bite:60|Solar Beam:120
Weepinbell|90|50|65|Razor Leaf:55|Shadow Ball:80|Solar Beam:120|Thunderbolt:90
Victreebel|105|65|80|Vine Whip:45|Razor Leaf:55|Brick Break:75|Solar Beam:120
Tentacool|40|35|40|Tackle:40|Body Slam:85|Rock Slide:75|Hyper Beam:150
Tentacruel|70|65|80|Headbutt:70|Slash:70|Hyper Beam:150|Thunderbolt:90
Geodude|80|100|40|Rock Slide:75|Energy Ball:90|Stone Edge:100|Rock Slide:75
Graveler|95|115|55|Rock Throw:50|Stone Edge:100|Shadow Ball:80|Ice Beam:90
Golem|120|130|80|Rock Throw:50|Stone Edge:100|Ice Beam:90|Aerial Ace:60
Ponyta|85|55|50|Tackle:40|Headbutt:70|Surf:90|Hyper Beam:150
Rapidash|100|70|65|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Slowpoke|65|65|90|Confusion:50|Psybeam:65|Ice Beam:90|Thunderbolt:90
Slowbro|75|180|95|Confusion:50|Psybeam:65|Flamethrower:90|Surf:90
Magnemite|35|70|25|Thunder Shock:40|Thunderbolt:90|Steel Wing:70|Thunder:110
Magneton|60|95|50|Spark:65|Steel Wing:70|Thunder:110|Ice Beam:90
Farfetch'd|90|55|52|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Doduo|85|45|35|Gust:40|Aerial Ace:60|Thunderbolt:90|Hurricane:110
Dodrio|110|70|60|Aerial Ace:60|Air Slash:75|Hurricane:110|Aerial Ace:60
Seel|45|55|65|Bubble Beam:65|Shadow Ball:80|Hydro Pump:110|Shadow Ball:80
Dewgong|70|80|90|Water Gun:40|Surf:90|Aerial Ace:60|Hydro Pump:110
Grimer|80|50|80|Sludge:65|Rock Slide:75|Gunk Shot:120|Surf:90
Muk|105|75|105|Poison Sting:15|Sludge Bomb:90|Energy Ball:90|Gunk Shot:120
Shellder|65|100|30|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Cloyster|95|180|50|Headbutt:70|Ice Beam:90|Hyper Beam:150|Bite:60
Gastly|35|30|30|Astonish:30|Shadow Ball:80|Rock Slide:75|Thunderbolt:90
Haunter|50|45|45|Astonish:30|Shadow Ball:80|Energy Ball:90|Thunderbolt:90
Gengar|65|80|60|Shadow Punch:60|Shadow Ball:80|Flamethrower:90|Hyper Beam:150
Onix|45|160|35|Rock Throw:50|Rock Slide:75|Aerial Ace:60|Stone Edge:100
Drowzee|48|45|60|Confusion:50|Psychic:90|Flamethrower:90|Thunderbolt:90
Hypno|73|70|85|Confusion:50|Psybeam:65|Brick Break:75|Flamethrower:90
Krabby|105|90|30|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Kingler|130|115|55|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Voltorb|30|50|40|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Electrode|50|70|60|Thunder Shock:40|Thunderbolt:90|Aerial Ace:60|Thunder:110
Exeggcute|40|80|60|Headbutt:70|Rock Slide:75|Hyper Beam:150|Bite:60
Exeggutor|105|85|95|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Cubone|50|95|50|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Marowak|80|110|60|Headbutt:70|Energy Ball:90|Hyper Beam:150|Thunderbolt:90
Hitmonlee|120|53|50|Brick Break:75|Close Combat:120|Ice Beam:90|Thunderbolt:90
Hitmonchan|105|79|50|Brick Break:75|Close Combat:120|Ice Beam:90|Bite:60
Lickitung|55|75|90|Headbutt:70|Rock Slide:75|Hyper Beam:150|Slash:70
Koffing|65|95|40|Sludge:65|Sludge Bomb:90|Bite:60|Gunk Shot:120
Weezing|90|120|65|Poison Sting:15|Sludge Bomb:90|Thunderbolt:90|Gunk Shot:120
Rhyhorn|85|95|80|Rock Throw:50|Rock Slide:75|Thunderbolt:90|Stone Edge:100
Rhydon|130|120|105|Rock Throw:50|Rock Slide:75|Bite:60|Stone Edge:100
Chansey|5|5|250|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Tangela|55|115|65|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Kangaskhan|125|100|105|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Horsea|40|70|30|Headbutt:70|Surf:90|Hyper Beam:150|Ice Beam:90
Seadra|65|95|55|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Goldeen|67|60|45|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Seaking|92|65|80|Headbutt:70|Ice Beam:90|Hyper Beam:150|Ice Beam:90
Staryu|45|55|30|Gust:40|Air Slash:75|Brick Break:75|Hurricane:110
Starmie|75|85|60|Aerial Ace:60|Energy Ball:90|Hurricane:110|Aerial Ace:60
Mr. Mime|45|65|40|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Scyther|110|80|70|Struggle Bug:50|Bug Bite:60|Shadow Ball:80|Megahorn:120
Jynx|50|35|65|Powder Snow:40|Ice Beam:90|Surf:90|Blizzard:110
Electabuzz|83|57|65|Thunder Shock:40|Spark:65|Surf:90|Thunder:110
Magmar|95|57|65|Ember:40|Flamethrower:90|Bite:60|Fire Blast:110
Pinsir|155|120|65|Struggle Bug:50|X-Scissor:80|Brick Break:75|Megahorn:120
Tauros|100|95|75|Vine Whip:45|Energy Ball:90|Sludge:65|Solar Beam:120
Magikarp|10|55|20|Headbutt:70|Slash:70|Hyper Beam:150|Ice Beam:90
Gyarados|155|109|95|Water Gun:40|Bubble Beam:65|Ice Beam:90|Hydro Pump:110
Lapras|85|80|130|Water Gun:40|Surf:90|Aerial Ace:60|Hydro Pump:110
Ditto|48|48|48|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Eevee|55|50|55|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Vaporeon|65|60|130|Bubble Beam:65|Surf:90|Energy Ball:90|Hydro Pump:110
Jolteon|65|60|65|Thunder Shock:40|Spark:65|Slash:70|Thunder:110
Flareon|130|60|65|Ember:40|Flame Wheel:60|Brick Break:75|Fire Blast:110
Porygon|60|70|65|Headbutt:70|Brick Break:75|Hyper Beam:150|Aerial Ace:60
Omanyte|40|100|35|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Omastar|60|125|70|Gust:40|Air Slash:75|Thunderbolt:90|Hurricane:110
Kabuto|80|90|30|Rock Slide:75|Stone Edge:100|Energy Ball:90|Ice Beam:90
Kabutops|115|105|60|Rock Slide:75|Stone Edge:100|Energy Ball:90|Rock Slide:75
Aerodactyl|135|85|80|Rock Throw:50|Rock Slide:75|Thunderbolt:90|Stone Edge:100
Snorlax|110|65|160|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Articuno|85|100|90|Ice Shard:40|Ice Beam:90|Bite:60|Blizzard:110
Zapdos|90|85|90|Thunder Shock:40|Spark:65|Shadow Ball:80|Thunder:110
Moltres|100|90|90|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Dratini|64|45|41|Dragon Breath:60|Dragon Pulse:85|Flamethrower:90|Outrage:120
Dragonair|84|65|61|Dragon Breath:60|Dragon Pulse:85|Ice Beam:90|Outrage:120
Dragonite|134|95|91|Dragon Breath:60|Dragon Claw:80|Thunderbolt:90|Outrage:120
Mewtwo|150|70|106|Confusion:50|Psybeam:65|Rock Slide:75|Thunderbolt:90
Mew|100|100|100|Confusion:50|Psychic:90|Bite:60|Ice Beam:90
Chikorita|49|65|45|Razor Leaf:55|Thunderbolt:90|Solar Beam:120|Flamethrower:90
Bayleef|62|80|60|Vine Whip:45|Energy Ball:90|Brick Break:75|Solar Beam:120
Meganium|82|100|80|Vine Whip:45|Razor Leaf:55|Rock Slide:75|Solar Beam:120
Cyndaquil|52|43|39|Tackle:40|Body Slam:85|Slash:70|Hyper Beam:150
Quilava|64|58|58|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Typhlosion|84|78|78|Ember:40|Flamethrower:90|Brick Break:75|Fire Blast:110
Totodile|65|64|50|Bubble Beam:65|Surf:90|Hydro Pump:110|Energy Ball:90
Croconaw|80|80|65|Bubble Beam:65|Surf:90|Bite:60|Hydro Pump:110
Feraligatr|105|100|85|Bubble Beam:65|Aerial Ace:60|Hydro Pump:110|Ice Beam:90
Sentret|46|34|35|Headbutt:70|Surf:90|Hyper Beam:150|Shadow Ball:80
Furret|76|64|85|Tackle:40|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Hoothoot|30|30|60|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Noctowl|50|50|100|Headbutt:70|Slash:70|Hyper Beam:150|Brick Break:75
Ledyba|20|30|40|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Ledian|35|50|55|Headbutt:70|Flamethrower:90|Hyper Beam:150|Aerial Ace:60
Spinarak|60|40|40|Headbutt:70|Brick Break:75|Hyper Beam:150|Slash:70
Ariados|90|70|70|Headbutt:70|Energy Ball:90|Hyper Beam:150|Bite:60
Crobat|90|80|85|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Chinchou|38|38|75|Headbutt:70|Brick Break:75|Hyper Beam:150|Rock Slide:75
Lanturn|58|58|125|Headbutt:70|Body Slam:85|Ice Beam:90|Hyper Beam:150
Pichu|40|15|20|Spark:65|Ice Beam:90|Thunder:110|Ice Beam:90
Cleffa|25|28|50|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Igglybuff|30|15|90|Headbutt:70|Surf:90|Hyper Beam:150|Brick Break:75
Togepi|20|65|35|Thunder Shock:40|Spark:65|Dazzling Gleam:80|Thunder:110
Togetic|40|85|55|Thunder Shock:40|Thunderbolt:90|Moonblast:95|Thunder:110
Natu|50|45|40|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Xatu|75|70|65|Tackle:40|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Mareep|40|40|55|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Aerial Ace:60
Flaaffy|55|55|70|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Ampharos|95|105|90|Vine Whip:45|Razor Leaf:55|Thunderbolt:90|Solar Beam:120
Bellossom|80|95|75|Vine Whip:45|Energy Ball:90|Rock Slide:75|Solar Beam:120
Marill|20|50|70|Bubble Beam:65|Slash:70|Hydro Pump:110|Ice Beam:90
Azumarill|50|80|100|Bubble Beam:65|Shadow Ball:80|Hydro Pump:110|Surf:90
Sudowoodo|100|115|70|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Politoed|75|75|90|Bubble Beam:65|Surf:90|Hydro Pump:110|Rock Slide:75
Hoppip|35|40|35|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Skiploom|45|50|55|Headbutt:70|Flamethrower:90|Hyper Beam:150|Flamethrower:90
Jumpluff|55|70|75|Headbutt:70|Rock Slide:75|Hyper Beam:150|Shadow Ball:80
Aipom|70|55|55|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Sunkern|30|30|30|Headbutt:70|Bite:60|Hyper Beam:150|Flamethrower:90
Sunflora|75|55|75|Draining Kiss:50|Bite:60|Moonblast:95|Flamethrower:90
Yanma|65|45|65|Bug Bite:60|Surf:90|Megahorn:120|Energy Ball:90
Wooper|45|45|55|Headbutt:70|Surf:90|Hyper Beam:150|Thunderbolt:90
Quagsire|85|85|95|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Espeon|65|60|65|Confusion:50|Psybeam:65|Slash:70|Energy Ball:90
Umbreon|65|110|95|Night Slash:70|Rock Slide:75|Thunderbolt:90|Ice Beam:90
Murkrow|85|42|60|Tackle:40|Headbutt:70|Energy Ball:90|Hyper Beam:150
Slowking|75|80|95|Confusion:50|Psychic:90|Ice Beam:90|Flamethrower:90
Misdreavus|60|60|60|Astonish:30|Shadow Ball:80|Thunderbolt:90|Hyper Beam:150
Unown|72|48|48|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Wobbuffet|33|58|190|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Girafarig|80|65|70|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Pineco|65|90|50|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Forretress|90|140|75|Headbutt:70|Ice Beam:90|Hyper Beam:150|Energy Ball:90
Dunsparce|70|70|100|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Gligar|75|105|65|Tackle:40|Body Slam:85|Rock Slide:75|Hyper Beam:150
Steelix|125|230|75|Iron Head:80|Surf:90|Energy Ball:90|Aerial Ace:60
Snubbull|80|50|60|Headbutt:70|Ice Beam:90|Hyper Beam:150|Slash:70
Granbull|120|75|90|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Qwilfish|95|85|65|Headbutt:70|Brick Break:75|Hyper Beam:150|Ice Beam:90
Scizor|150|140|70|Metal Claw:50|Flash Cannon:80|Shadow Ball:80|Flamethrower:90
Shuckle|10|230|20|Tackle:40|Headbutt:70|Rock Slide:75|Hyper Beam:150
Heracross|185|115|80|Vine Whip:45|Razor Leaf:55|Sludge Bomb:90|Solar Beam:120
Sneasel|95|55|55|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Teddiursa|80|50|60|Headbutt:70|Surf:90|Hyper Beam:150|Bite:60
Ursaring|130|75|90|Headbutt:70|Flamethrower:90|Hyper Beam:150|Energy Ball:90
Slugma|40|40|40|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Magcargo|50|120|60|Headbutt:70|Body Slam:85|Surf:90|Hyper Beam:150
Swinub|50|40|50|Powder Snow:40|Ice Beam:90|Surf:90|Blizzard:110
Piloswine|100|80|100|Powder Snow:40|Ice Beam:90|Energy Ball:90|Blizzard:110
Corsola|55|95|65|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Remoraid|65|35|35|Headbutt:70|Brick Break:75|Hyper Beam:150|Bite:60
Octillery|105|75|75|Headbutt:70|Slash:70|Hyper Beam:150|Brick Break:75
Delibird|55|45|45|Ice Shard:40|Flamethrower:90|Blizzard:110|Flamethrower:90
Mantine|40|70|85|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Skarmory|80|140|65|Iron Head:80|Flash Cannon:80|Surf:90|Brick Break:75
Houndour|60|30|45|Flame Wheel:60|Flamethrower:90|Dark Pulse:80|Fire Blast:110
Houndoom|90|90|75|Ember:40|Flamethrower:90|Dark Pulse:80|Fire Blast:110
Kingdra|95|95|75|Bubble Beam:65|Surf:90|Hydro Pump:110|Flamethrower:90
Phanpy|60|60|90|Headbutt:70|Brick Break:75|Hyper Beam:150|Energy Ball:90
Donphan|120|120|90|Mud-Slap:20|Earthquake:100|Energy Ball:90|Surf:90
Porygon2|80|90|85|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Stantler|95|62|73|Headbutt:70|Bite:60|Hyper Beam:150|Slash:70
Smeargle|20|35|55|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Tyrogue|35|35|35|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Hitmontop|95|95|50|Karate Chop:50|Close Combat:120|Brick Break:75|Focus Punch:150
Smoochum|30|15|45|Headbutt:70|Slash:70|Hyper Beam:150|Surf:90
Elekid|63|37|45|Spark:65|Thunderbolt:90|Surf:90|Thunder:110
Magby|75|37|45|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Miltank|80|105|95|Headbutt:70|Bite:60|Hyper Beam:150|Aerial Ace:60
Blissey|10|10|255|Tackle:40|Headbutt:70|Surf:90|Hyper Beam:150
Raikou|85|75|90|Spark:65|Rock Slide:75|Thunder:110|Ice Beam:90
Entei|115|85|115|Tackle:40|Body Slam:85|Surf:90|Hyper Beam:150
Suicune|75|115|100|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Larvitar|64|50|50|Rock Throw:50|Stone Edge:100|Rock Slide:75|Bite:60
Pupitar|84|70|70|Rock Throw:50|Rock Slide:75|Thunderbolt:90|Stone Edge:100
Tyranitar|164|150|100|Rock Slide:75|Stone Edge:100|Flamethrower:90|Aerial Ace:60
Lugia|90|130|106|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Ho-Oh|130|90|106|Tackle:40|Headbutt:70|Thunderbolt:90|Hyper Beam:150
Celebi|100|100|100|Tackle:40|Body Slam:85|Bite:60|Hyper Beam:150
Treecko|45|35|40|Vine Whip:45|Energy Ball:90|Rock Slide:75|Solar Beam:120
Grovyle|65|45|50|Vine Whip:45|Energy Ball:90|Ice Beam:90|Solar Beam:120
Sceptile|110|75|70|Vine Whip:45|Energy Ball:90|Bite:60|Solar Beam:120
Torchic|60|40|45|Flame Wheel:60|Flamethrower:90|Shadow Ball:80|Fire Blast:110
Combusken|85|60|60|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Blaziken|160|80|80|Ember:40|Flame Wheel:60|Flamethrower:90|Fire Blast:110
Mudkip|70|50|50|Bubble Beam:65|Surf:90|Hydro Pump:110|Slash:70
Marshtomp|85|70|70|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Swampert|150|110|100|Tackle:40|Headbutt:70|Surf:90|Hyper Beam:150
Poochyena|55|35|35|Headbutt:70|Thunderbolt:90|Hyper Beam:150|Slash:70
Mightyena|90|70|70|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Zigzagoon|30|41|38|Headbutt:70|Body Slam:85|Ice Beam:90|Hyper Beam:150
Linoone|70|61|78|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Wurmple|45|35|45|Tackle:40|Headbutt:70|Slash:70|Hyper Beam:150
Silcoon|35|55|50|Tackle:40|Headbutt:70|Energy Ball:90|Hyper Beam:150
Beautifly|70|50|60|Headbutt:70|Energy Ball:90|Hyper Beam:150|Ice Beam:90
Cascoon|35|55|50|Tackle:40|Body Slam:85|Flamethrower:90|Hyper Beam:150
Dustox|50|70|60|Headbutt:70|Shadow Ball:80|Hyper Beam:150|Surf:90
Lotad|30|30|40|Headbutt:70|Body Slam:85|Flamethrower:90|Hyper Beam:150
Lombre|50|50|60|Tackle:40|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Ludicolo|70|70|80|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Seedot|40|50|40|Tackle:40|Headbutt:70|Bite:60|Hyper Beam:150
Nuzleaf|70|40|70|Vine Whip:45|Razor Leaf:55|Bite:60|Solar Beam:120
Shiftry|100|60|90|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Taillow|55|30|40|Headbutt:70|Body Slam:85|Thunderbolt:90|Hyper Beam:150
Swellow|85|60|60|Gust:40|Aerial Ace:60|Thunderbolt:90|Hurricane:110
Wingull|30|30|40|Tackle:40|Body Slam:85|Ice Beam:90|Hyper Beam:150
Pelipper|50|100|60|Headbutt:70|Flamethrower:90|Hyper Beam:150|Brick Break:75
Ralts|25|25|28|Headbutt:70|Body Slam:85|Ice Beam:90|Hyper Beam:150
Kirlia|35|35|38|Headbutt:70|Body Slam:85|Ice Beam:90|Hyper Beam:150
Gardevoir|85|65|68|Confusion:50|Psybeam:65|Moonblast:95|Thunderbolt:90
Surskit|30|32|40|Tackle:40|Body Slam:85|Brick Break:75|Hyper Beam:150
Masquerain|60|62|70|Headbutt:70|Body Slam:85|Aerial Ace:60|Hyper Beam:150
Shroomish|40|60|60|Headbutt:70|Body Slam:85|Slash:70|Hyper Beam:150
Breloom|130|80|60|Tackle:40|Headbutt:70|Ice Beam:90|Hyper Beam:150
Slakoth|60|60|60|Tackle:40|Headbutt:70|Energy Ball:90|Hyper Beam:150
Vigoroth|80|80|80|Headbutt:70|Flamethrower:90|Hyper Beam:150|Energy Ball:90
Slaking|160|100|150|Headbutt:70|Aerial Ace:60|Hyper Beam:150|Aerial Ace:60
Nincada|45|90|31|Struggle Bug:50|X-Scissor:80|Rock Slide:75|Megahorn:120
Ninjask|90|45|61|Headbutt:70|Bite:60|Hyper Beam:150|Flamethrower:90
Shedinja|90|45|1|Struggle Bug:50|Bug Bite:60|Surf:90|Megahorn:120
Whismur|51|23|64|Headbutt:70|Body Slam:85|Shadow Ball:80|Hyper Beam:150
Loudred|71|43|84|Tackle:40|Headbutt:70|Aerial Ace:60|Hyper Beam:150
Exploud|91|63|104|Headbutt:70|Flamethrower:90|Hyper Beam:150|Ice Beam:90
Makuhita|60|30|72|Tackle:40|Headbutt:70|Brick Break:75|Hyper Beam:150
Hariyama|120|60|144|Brick Break:75|Close Combat:120|Surf:90|Focus Punch:150
Azurill|20|40|50|Headbutt:70|Body Slam:85|Rock Slide:75|Hyper Beam:150
Nosepass|45|135|30|Tackle:40|Headbutt:70|Shadow Ball:80|Hyper Beam:150
Skitty|45|45|50|Headbutt:70|Flamethrower:90|Hyper Beam:150|Shadow Ball:80
Delcatty|65|65|70|Headbutt:70|Body Slam:85|Brick Break:75|Hyper Beam:150
Sableye|85|125|50|Tackle:40|Body Slam:85|Slash:70|Hyper Beam:150
Mawile|105|125|50|Metal Claw:50|Flash Cannon:80|Brick Break:75|Ice Beam:90
Aron|70|100|50|Headbutt:70|Bite:60|Hyper Beam:150|Surf:90
